Angle of elbow joint.,Angle of ankle (toe-heel-shin) joint.,Angle of shin with x-axis.,Distance between knees.,Distance of hip to heel.,Distance of hip to wrist.,frame
"[41, 125]","[133, 104]","[108, 104]",76.447,"[106.78, 67.96]","[52.464, 35.82]",39
"[36, 174]","[126, 93]","[114, 97]",81.513,"[103.28, 83.079]","[49.944, 18.723]",40
"[95, 154]","[118, 106]","[88, 89]",18.112,"[89.529, 95.297]","[36.276, 10.462]",41
"[129, 151]","[120, 117]","[108, 92]",50.67,"[78.046, 92.167]","[13.738, 7.786]",42
"[130, 150]","[68, 148]","[244, 97]",46.647,"[69.063, 88.346]","[9.914, 18.257]",43
"[136, 137]","[86, 125]","[233, 122]",6.446,"[67.597, 76.295]","[8.631, 37.411]",44
"[128, 113]","[75, 84]","[237, 110]",18.769,"[44.797, 101.779]","[24.456, 46.263]",45
"[118, 69]","[112, 103]","[112, 112]",51.94,"[49.523, 100.518]","[33.187, 54.814]",46
"[116, 36]","[120, 109]","[108, 116]",66.437,"[71.077, 109.812]","[35.145, 56.753]",47
"[115, 33]","[96, 121]","[99, 131]",69.787,"[82.881, 100.57]","[36.194, 56.632]",48
"[123, 92]","[94, 95]","[88, 155]",57.26,"[100.617, 90.029]","[25.899, 51.697]",49
"[130, 131]","[132, 66]","[95, 220]",40.916,"[88.807, 80.152]","[14.492, 37.875]",50
"[128, 156]","[147, 67]","[95, 243]",32.779,"[94.196, 59.839]","[10.603, 24.606]",51
"[124, 146]","[99, 63]","[101, 237]",9.402,"[107.994, 37.831]","[31.463, 11.181]",52
"[86, 156]","[92, 71]","[107, 244]",37.865,"[105.977, 32.072]","[47.51, 7.458]",53
"[51, 159]","[107, 120]","[113, 117]",62.168,"[107.521, 44.089]","[56.316, 21.113]",54
"[36, 132]","[124, 118]","[119, 104]",75.408,"[110.188, 58.617]","[60.802, 31.128]",55
"[33, 127]","[120, 80]","[132, 95]",79.126,"[106.206, 78.605]","[59.594, 30.95]",56
"[48, 137]","[74, 97]","[137, 107]",9.48,"[73.261, 78.492]","[53.951, 26.305]",57
"[118, 129]","[67, 72]","[226, 87]",53.46,"[82.28, 99.205]","[43.904, 32.494]",58
"[139, 144]","[70, 86]","[236, 87]",16.89,"[56.965, 102.945]","[30.097, 22.487]",59
"[166, 155]","[74, 86]","[229, 98]",8.885,"[42.43, 103.446]","[18.62, 22.596]",60
"[149, 115]","[83, 80]","[239, 108]",29.012,"[38.499, 102.563]","[14.094, 47.049]",61
"[143, 63]","[111, 104]","[128, 113]",60.849,"[46.065, 103.769]","[19.691, 55.33]",62
"[139, 50]","[118, 127]","[110, 115]",72.307,"[66.497, 106.513]","[21.945, 54.312]",63
"[136, 56]","[85, 121]","[96, 132]",72.984,"[86.306, 103.184]","[24.76, 53.709]",64
"[138, 98]","[83, 98]","[88, 168]",64.443,"[100.607, 93.137]","[21.794, 48.887]",65
"[137, 135]","[79, 71]","[84, 212]",49.875,"[111.621, 71.238]","[14.413, 34.586]",66
"[140, 157]","[86, 69]","[90, 238]",33.181,"[113.856, 53.213]","[22.657, 16.806]",67
"[118, 155]","[95, 80]","[102, 245]",17.407,"[108.904, 46.645]","[41.013, 14.368]",68
"[87, 150]","[87, 85]","[109, 116]",33.932,"[104.97, 34.805]","[55.013, 21.721]",69
"[50, 143]","[120, 111]","[116, 109]",60.607,"[101.699, 43.661]","[62.748, 27.61]",70
"[19, 135]","[122, 70]","[129, 92]",67.733,"[103.002, 75.877]","[62.318, 42.666]",72
"[25, 140]","[99, 60]","[158, 85]",52.466,"[91.273, 93.496]","[55.391, 37.04]",73
"[89, 139]","[79, 78]","[219, 84]",32.318,"[74.364, 103.871]","[45.777, 21.166]",74
"[156, 132]","[74, 79]","[211, 87]",3.007,"[50.834, 106.946]","[34.633, 21.383]",75
"[167, 145]","[73, 64]","[224, 95]",16.142,"[38.435, 110.357]","[26.3, 17.902]",76
"[171, 160]","[111, 91]","[126, 100]",43.389,"[30.736, 95.49]","[31.966, 23.641]",77
"[176, 155]","[115, 116]","[121, 101]",62.457,"[49.859, 105.672]","[27.659, 34.978]",78
"[167, 169]","[108, 142]","[105, 106]",70.526,"[70.086, 106.398]","[25.109, 22.569]",79
"[166, 129]","[79, 135]","[94, 111]",72.434,"[86.64, 98.464]","[28.287, 60.441]",80
"[162, 118]","[79, 100]","[87, 158]",63.481,"[100.128, 84.594]","[23.134, 55.173]",81
"[151, 145]","[74, 66]","[84, 214]",52.572,"[110.824, 65.294]","[23.446, 22.115]",82
"[152, 139]","[96, 56]","[89, 240]",35.249,"[112.27, 46.577]","[32.344, 17.446]",83
"[137, 150]","[88, 55]","[99, 244]",18.641,"[108.458, 32.564]","[46.817, 22.038]",84
"[100, 148]","[90, 123]","[106, 107]",29.598,"[106.841, 37.7]","[54.792, 28.705]",85
"[35, 142]","[104, 116]","[112, 109]",51.352,"[102.975, 48.832]","[57.989, 37.973]",86
"[11, 140]","[137, 122]","[114, 100]",43.847,"[98.881, 57.061]","[61.215, 43.614]",87
"[110, 138]","[124, 69]","[127, 88]",25.309,"[94.457, 76.149]","[33.665, 45.25]",88
"[144, 140]","[122, 60]","[135, 81]",12.656,"[80.424, 90.146]","[27.493, 41.508]",89
"[118, 144]","[94, 146]","[131, 109]",33.138,"[89.723, 94.084]","[22.758, 42.577]",90
"[138, 161]","[97, 168]","[72, 80]",66.356,"[95.213, 96.568]","[71.944, 87.718]",95
"[141, 60]","[150, 105]","[84, 94]",19.702,"[131.513, 121.587]","[96.216, 62.494]",97
"[164, 175]","[155, 166]","[277, 87]",130.66,"[82.995, 180.238]","[337.098, 292.125]",98
"[169, 177]","[70, 10]","[77, 89]",63.672,"[56.324, 15.666]","[292.473, 246.293]",99
"[26, 10]","[27, 111]","[271, 96]",57.025,"[19.724, 22.535]","[124.198, 103.669]",104
"[165, 165]","[63, 169]","[274, 93]",1140.514,"[730.585, 2515.68]","[1109.888, 3288.345]",105
"[176, 33]","[32, 161]","[274, 270]",27.485,"[28.811, 33.056]","[193.625, 120.098]",107
"[178, 178]","[132, 172]","[306, 259]",66.899,"[14.218, 27.186]","[152.657, 208.218]",108
"[176, 150]","[169, 173]","[278, 269]",36.811,"[31.254, 37.043]","[195.006, 172.954]",109
"[176, 103]","[163, 147]","[280, 246]",42.61,"[29.18, 24.627]","[166.962, 129.491]",110
"[168, 167]","[137, 157]","[113, 102]",64.386,"[177.553, 237.064]","[189.064, 45.382]",112
"[167, 169]","[80, 34]","[91, 271]",87.647,"[141.561, 121.051]","[470.82, 132.66]",113
"[178, 177]","[137, 176]","[267, 101]",134.267,"[167.453, 477.444]","[673.377, 697.964]",114
"[166, 166]","[37, 22]","[271, 265]",56.003,"[20.875, 37.311]","[230.444, 238.114]",118
